Created_On,Source,Industry
11/14/2016,Referral,IT
11/14/2016,Social,IT
11/14/2016,Paid,SaaS
11/14/2016,Direct,SaaS
11/15/2016,Organic,Health Care
11/15/2016,Email,Finance
11/15/2016,Paid,SaaS
11/19/2016,Email,Telecom
11/19/2016,Social,Finance
11/19/2016,Direct,Finance
11/20/2016,Paid,Finance
11/20/2016,Email,Finance
11/20/2016,Paid,SaaS
11/20/2016,Social,Health Care
11/20/2016,Referral,Education
11/21/2016,Referral,IT
11/21/2016,Email,IT
11/21/2016,Direct,SaaS
11/25/2016,Organic,Finance
11/25/2016,Organic,Telecom
11/25/2016,Social,Telecom
11/25/2016,Paid,SaaS
11/25/2016,Direct,Telecom
11/25/2016,Referral,SaaS
11/29/2016,Direct,IT
11/29/2016,Direct,SaaS
11/29/2016,Organic,Health Care
11/29/2016,Paid,Education
11/29/2016,Organic,Health Care
12/1/2016,Paid,SaaS
12/1/2016,Social,Telecom
12/1/2016,Direct,Education
12/1/2016,Email,Retail/Entertainment
12/1/2016,Paid,SaaS
12/1/2016,Referral,Education
12/1/2016,Referral,Education
12/2/2016,Paid,Retail/Entertainment
12/2/2016,Direct,Finance
12/2/2016,Direct,IT
12/2/2016,Direct,SaaS
12/2/2016,Email,Telecom
12/2/2016,Referral,Retail/Entertainment
12/4/2016,Social,SaaS
12/4/2016,Paid,Finance
12/6/2016,Paid,SaaS
12/6/2016,Paid,Finance
12/6/2016,Social,Retail/Entertainment
12/6/2016,Paid,Retail/Entertainment
12/6/2016,Organic,Health Care
12/8/2016,Referral,Retail/Entertainment
12/8/2016,Organic,SaaS
12/8/2016,Social,Retail/Entertainment
12/8/2016,Direct,Retail/Entertainment
12/8/2016,Paid,Telecom
12/8/2016,Social,Health Care
12/8/2016,Social,Health Care
12/8/2016,Direct,SaaS
12/9/2016,Paid,Retail/Entertainment
12/9/2016,Social,Telecom
12/9/2016,Paid,Retail/Entertainment
12/11/2016,Social,Education
12/11/2016,Email,Finance
12/11/2016,Paid,Retail/Entertainment
12/11/2016,Referral,SaaS
12/11/2016,Social,Retail/Entertainment
12/11/2016,Paid,SaaS
12/12/2016,Social,Finance
12/12/2016,Referral,Health Care
12/12/2016,Paid,Education
12/13/2016,Referral,SaaS
12/13/2016,Direct,SaaS
12/15/2016,Organic,Health Care
12/15/2016,Organic,SaaS
12/16/2016,Email,Telecom
12/16/2016,Direct,IT
12/16/2016,Paid,SaaS
12/16/2016,Email,SaaS
12/16/2016,Referral,IT
12/16/2016,Paid,Telecom
12/17/2016,Referral,Retail/Entertainment
12/17/2016,Paid,Retail/Entertainment
12/17/2016,Email,Finance
12/18/2016,Direct,IT
12/18/2016,Organic,Finance
12/18/2016,Email,IT
12/18/2016,Direct,Health Care
12/18/2016,Paid,Finance
12/18/2016,Social,Telecom
12/18/2016,Email,Finance
12/18/2016,Direct,Health Care
12/18/2016,Organic,Telecom
12/18/2016,Direct,IT
12/18/2016,Paid,Finance
12/18/2016,Email,Education
12/18/2016,Social,SaaS
12/18/2016,Organic,IT
12/19/2016,Direct,SaaS
12/19/2016,Organic,SaaS
12/19/2016,Referral,IT
12/19/2016,Direct,Finance
12/21/2016,Email,Telecom
12/21/2016,Direct,SaaS
12/21/2016,Direct,Retail/Entertainment
12/22/2016,Direct,Retail/Entertainment
12/22/2016,Paid,SaaS
12/22/2016,Paid,IT
12/22/2016,Email,Finance
12/22/2016,Organic,SaaS
12/22/2016,Organic,SaaS
12/22/2016,Paid,SaaS
12/22/2016,Direct,Telecom
12/23/2016,Social,Finance
12/23/2016,Referral,Telecom
12/24/2016,Paid,Telecom
12/24/2016,Direct,SaaS
12/24/2016,Organic,Education
12/25/2016,Paid,SaaS
12/25/2016,Organic,Retail/Entertainment
12/25/2016,Email,Finance
12/25/2016,Paid,Health Care
12/26/2016,Direct,SaaS
12/26/2016,Referral,IT
12/27/2016,Paid,Retail/Entertainment
12/27/2016,Paid,Telecom
12/27/2016,Paid,SaaS
12/28/2016,Paid,Education
12/28/2016,Organic,Telecom
12/28/2016,Referral,Telecom
12/28/2016,Referral,Finance
12/28/2016,Organic,Finance
12/28/2016,Direct,Retail/Entertainment
12/28/2016,Paid,IT
12/28/2016,Referral,SaaS
12/28/2016,Direct,IT
12/28/2016,Email,Telecom
12/28/2016,Referral,IT
12/28/2016,Referral,Telecom
12/28/2016,Direct,Finance
12/28/2016,Organic,Telecom
12/28/2016,Referral,Retail/Entertainment
12/28/2016,Organic,Health Care
12/28/2016,Paid,Finance
12/28/2016,Paid,Finance
12/28/2016,Email,Finance
12/28/2016,Paid,Telecom
12/29/2016,Email,IT
12/29/2016,Direct,SaaS
12/29/2016,Direct,IT
12/29/2016,Email,Finance
12/29/2016,Paid,Telecom
12/29/2016,Paid,Retail/Entertainment
12/29/2016,Email,Finance
12/29/2016,Direct,SaaS
12/29/2016,Email,Retail/Entertainment
12/29/2016,Referral,Telecom
12/29/2016,Email,IT
12/29/2016,Organic,Telecom
12/30/2016,Paid,SaaS
12/30/2016,Email,Telecom
12/30/2016,Organic,Telecom
12/30/2016,Email,IT
12/30/2016,Email,IT
12/30/2016,Referral,Education
12/30/2016,Direct,SaaS
12/30/2016,Direct,SaaS
12/30/2016,Direct,Telecom
12/30/2016,Referral,Health Care
12/30/2016,Paid,Health Care
12/30/2016,Email,Retail/Entertainment
12/30/2016,Organic,Telecom
12/30/2016,Social,SaaS
12/30/2016,Direct,Education
12/30/2016,Paid,Retail/Entertainment
12/30/2016,Referral,Retail/Entertainment
1/1/2017,Paid,Health Care
1/1/2017,Referral,Telecom
1/1/2017,Organic,Health Care
1/1/2017,Email,Education
1/1/2017,Organic,SaaS
1/1/2017,Paid,SaaS
1/1/2017,Social,Telecom
1/1/2017,Social,Telecom
1/1/2017,Email,IT
1/1/2017,Social,SaaS
1/1/2017,Referral,IT
1/1/2017,Direct,Health Care
1/1/2017,Email,Telecom
1/1/2017,Organic,Retail/Entertainment
1/1/2017,Email,IT
1/1/2017,Referral,Finance
1/1/2017,Email,Health Care
1/1/2017,Referral,SaaS
1/1/2017,Direct,SaaS
1/1/2017,Direct,SaaS
1/2/2017,Organic,SaaS
1/2/2017,Email,Telecom
1/2/2017,Direct,Telecom
1/2/2017,Paid,SaaS
1/2/2017,Paid,Education
1/2/2017,Organic,Retail/Entertainment
1/2/2017,Referral,IT
1/2/2017,Email,Education
1/2/2017,Referral,SaaS
1/2/2017,Email,Finance
1/2/2017,Referral,Telecom
1/2/2017,Organic,Education
1/2/2017,Organic,Finance
1/2/2017,Email,Health Care
1/2/2017,Social,Retail/Entertainment
1/2/2017,Referral,Telecom
1/3/2017,Paid,SaaS
1/3/2017,Email,IT
1/3/2017,Email,Telecom
1/3/2017,Referral,Finance
1/3/2017,Paid,IT
1/3/2017,Direct,Finance
1/3/2017,Referral,Telecom
1/3/2017,Social,Finance
1/3/2017,Referral,IT
1/3/2017,Email,Finance
1/3/2017,Organic,Health Care
1/3/2017,Organic,Finance
1/3/2017,Organic,Telecom
1/3/2017,Paid,SaaS
1/3/2017,Referral,Health Care
1/3/2017,Email,SaaS
1/3/2017,Direct,SaaS
1/3/2017,Referral,Finance
1/3/2017,Organic,Telecom
1/4/2017,Email,Retail/Entertainment
1/4/2017,Social,Retail/Entertainment
1/4/2017,Social,Finance
1/4/2017,Email,Finance
1/4/2017,Paid,Finance
1/4/2017,Organic,Health Care
1/4/2017,Paid,Telecom
1/4/2017,Direct,Finance
1/4/2017,Paid,Retail/Entertainment
1/4/2017,Social,Telecom
1/4/2017,Organic,IT
1/4/2017,Direct,Health Care
1/4/2017,Referral,IT
1/4/2017,Direct,IT
1/4/2017,Social,SaaS
1/4/2017,Social,Health Care
1/4/2017,Organic,Telecom
1/4/2017,Direct,Finance
1/4/2017,Social,SaaS
1/4/2017,Referral,Finance
1/4/2017,Email,Education
1/4/2017,Social,Retail/Entertainment
1/4/2017,Paid,Telecom
1/5/2017,Email,IT
1/5/2017,Organic,SaaS
1/5/2017,Direct,Finance
1/5/2017,Social,Education
1/5/2017,Paid,Health Care
1/5/2017,Social,SaaS
1/5/2017,Referral,IT
1/5/2017,Referral,Education
1/5/2017,Organic,IT
1/5/2017,Paid,Telecom
1/5/2017,Paid,IT
1/5/2017,Email,Retail/Entertainment
1/5/2017,Organic,Education
1/5/2017,Referral,SaaS
1/5/2017,Organic,Health Care
1/5/2017,Referral,Finance
1/5/2017,Paid,SaaS
1/5/2017,Paid,Health Care
1/5/2017,Direct,Health Care
1/5/2017,Email,Finance
1/5/2017,Paid,Retail/Entertainment
1/5/2017,Paid,Health Care
1/5/2017,Paid,IT
1/5/2017,Direct,IT
1/5/2017,Direct,SaaS
1/5/2017,Organic,Education
1/5/2017,Referral,Telecom
1/5/2017,Paid,Telecom
1/5/2017,Direct,SaaS
1/5/2017,Social,Health Care
1/5/2017,Referral,IT
1/5/2017,Organic,SaaS
1/6/2017,Email,Telecom
1/6/2017,Organic,Finance
1/6/2017,Paid,Retail/Entertainment
1/6/2017,Organic,Education
1/6/2017,Email,IT
1/6/2017,Referral,Finance
1/6/2017,Organic,SaaS
1/6/2017,Referral,Finance
1/6/2017,Social,SaaS
1/6/2017,Organic,Education
1/6/2017,Email,Finance
1/6/2017,Paid,IT
1/6/2017,Referral,Telecom
1/6/2017,Direct,SaaS
1/6/2017,Social,Telecom
1/6/2017,Organic,SaaS
1/6/2017,Organic,SaaS
1/6/2017,Social,IT
1/6/2017,Organic,Health Care
1/7/2017,Social,Telecom
1/7/2017,Social,Telecom
1/7/2017,Email,IT
1/7/2017,Paid,Finance
1/7/2017,Organic,SaaS
1/7/2017,Direct,Education
1/7/2017,Direct,SaaS
1/7/2017,Social,Health Care
1/7/2017,Email,Retail/Entertainment
1/7/2017,Paid,SaaS
1/7/2017,Social,Retail/Entertainment
1/8/2017,Referral,Health Care
1/8/2017,Paid,Education
1/8/2017,Organic,Retail/Entertainment
1/8/2017,Email,Telecom
1/8/2017,Direct,Health Care
1/8/2017,Paid,Education
1/8/2017,Referral,Telecom
1/8/2017,Direct,Telecom
1/8/2017,Paid,IT
1/8/2017,Organic,Retail/Entertainment
1/8/2017,Referral,Retail/Entertainment
1/8/2017,Paid,Retail/Entertainment
1/8/2017,Referral,Finance
1/8/2017,Referral,Health Care
1/8/2017,Email,IT
1/8/2017,Direct,Telecom
1/8/2017,Referral,Retail/Entertainment
1/8/2017,Social,Retail/Entertainment
1/8/2017,Organic,SaaS
1/8/2017,Paid,Retail/Entertainment
1/8/2017,Organic,Health Care
1/8/2017,Direct,Retail/Entertainment
1/8/2017,Email,Finance
1/8/2017,Direct,Finance
1/8/2017,Paid,SaaS
1/8/2017,Organic,Telecom
1/8/2017,Paid,SaaS
1/8/2017,Referral,Finance
1/8/2017,Organic,IT
1/8/2017,Paid,IT
1/8/2017,Paid,Finance
1/9/2017,Paid,Finance
1/9/2017,Referral,Education
1/9/2017,Organic,Education
1/9/2017,Email,Telecom
1/9/2017,Direct,IT
1/9/2017,Referral,SaaS
1/9/2017,Paid,Health Care
1/9/2017,Direct,SaaS
1/9/2017,Email,Retail/Entertainment
1/9/2017,Social,Retail/Entertainment
1/9/2017,Referral,Finance
1/9/2017,Social,Telecom
1/9/2017,Organic,Health Care
1/9/2017,Organic,Telecom
1/10/2017,Social,Finance
1/10/2017,Organic,Health Care
1/10/2017,Referral,Health Care
1/10/2017,Referral,SaaS
1/10/2017,Organic,IT
1/10/2017,Social,IT
1/10/2017,Direct,SaaS
1/10/2017,Referral,Finance
1/10/2017,Referral,IT
1/10/2017,Paid,SaaS
1/10/2017,Organic,Health Care
1/10/2017,Organic,SaaS
1/10/2017,Organic,SaaS
1/10/2017,Paid,Health Care
1/10/2017,Email,SaaS
1/10/2017,Direct,Finance
1/10/2017,Email,IT
1/10/2017,Email,Finance
1/10/2017,Paid,Health Care
1/10/2017,Referral,Finance
1/10/2017,Organic,IT
1/10/2017,Email,Finance
1/10/2017,Email,IT
1/10/2017,Social,Finance
1/10/2017,Paid,Telecom
1/11/2017,Organic,IT
1/11/2017,Email,Telecom
1/11/2017,Organic,SaaS
1/11/2017,Email,Education
1/11/2017,Email,Telecom
1/11/2017,Organic,IT
1/11/2017,Social,Health Care
1/11/2017,Referral,Education
1/11/2017,Paid,IT
1/11/2017,Social,SaaS
1/11/2017,Paid,Retail/Entertainment
1/11/2017,Social,Finance
1/11/2017,Social,IT
1/11/2017,Organic,SaaS
1/11/2017,Paid,Finance
1/11/2017,Referral,Education
1/11/2017,Organic,SaaS
1/11/2017,Social,SaaS
1/11/2017,Referral,SaaS
1/11/2017,Email,Telecom
1/11/2017,Paid,Health Care
1/11/2017,Direct,Finance
1/11/2017,Paid,Telecom
1/11/2017,Paid,Health Care
1/11/2017,Email,IT
1/11/2017,Direct,SaaS
1/11/2017,Referral,Health Care
1/11/2017,Email,Education
1/11/2017,Organic,SaaS
1/11/2017,Referral,Finance
1/11/2017,Referral,SaaS
1/11/2017,Paid,Health Care
1/11/2017,Email,Telecom
1/12/2017,Organic,SaaS
1/12/2017,Social,Education
1/12/2017,Email,Health Care
1/12/2017,Organic,Finance
1/12/2017,Organic,Telecom
1/12/2017,Social,IT
1/12/2017,Social,SaaS
1/12/2017,Direct,SaaS
1/12/2017,Paid,SaaS
1/12/2017,Email,Finance
1/12/2017,Paid,Telecom
1/12/2017,Paid,Finance
1/12/2017,Organic,SaaS
1/12/2017,Organic,SaaS
1/12/2017,Email,Education
1/12/2017,Social,IT
1/12/2017,Referral,Retail/Entertainment
1/12/2017,Organic,IT
1/12/2017,Direct,IT
1/12/2017,Referral,Finance
1/12/2017,Social,Telecom
1/12/2017,Email,Finance
1/12/2017,Social,Finance
1/12/2017,Direct,SaaS
1/12/2017,Direct,SaaS
1/12/2017,Direct,SaaS
1/12/2017,Direct,Finance
1/12/2017,Organic,Retail/Entertainment
1/12/2017,Paid,Retail/Entertainment
1/12/2017,Direct,Health Care
1/13/2017,Organic,Health Care
1/13/2017,Email,Retail/Entertainment
1/13/2017,Referral,Finance
1/13/2017,Direct,Retail/Entertainment
1/13/2017,Social,Telecom
1/13/2017,Direct,IT
1/13/2017,Referral,IT
1/13/2017,Social,Telecom
1/13/2017,Email,Education
1/13/2017,Email,Telecom
1/13/2017,Email,Retail/Entertainment
1/13/2017,Social,Telecom
1/13/2017,Social,Retail/Entertainment
1/13/2017,Paid,Telecom
1/13/2017,Social,Retail/Entertainment
1/13/2017,Direct,Retail/Entertainment
1/13/2017,Direct,Telecom
1/13/2017,Direct,Telecom
1/13/2017,Social,Education
1/13/2017,Organic,IT
1/13/2017,Social,SaaS
1/13/2017,Email,Retail/Entertainment
1/13/2017,Paid,Telecom
1/13/2017,Email,Retail/Entertainment
1/13/2017,Email,Telecom
1/13/2017,Social,Telecom
1/13/2017,Email,IT
1/13/2017,Paid,Education
1/13/2017,Referral,IT
1/13/2017,Paid,IT
1/13/2017,Organic,SaaS
1/13/2017,Social,IT
1/13/2017,Social,Education
1/13/2017,Paid,Retail/Entertainment
1/13/2017,Email,Retail/Entertainment
1/13/2017,Direct,Telecom
1/14/2017,Referral,IT
1/14/2017,Email,Finance
1/14/2017,Organic,SaaS
1/14/2017,Referral,Telecom
1/14/2017,Paid,Telecom
1/14/2017,Email,Telecom
1/14/2017,Paid,Telecom
1/14/2017,Social,Health Care
1/14/2017,Email,SaaS
1/14/2017,Organic,Finance
1/14/2017,Referral,Finance
1/14/2017,Social,IT
1/14/2017,Direct,Finance
1/14/2017,Referral,SaaS
1/14/2017,Referral,Finance
1/14/2017,Organic,Finance
1/14/2017,Social,SaaS
1/14/2017,Organic,Finance
1/14/2017,Organic,Health Care
1/14/2017,Direct,Health Care
1/14/2017,Social,SaaS
1/14/2017,Organic,Finance
1/14/2017,Organic,Telecom
1/14/2017,Direct,IT
1/14/2017,Paid,Health Care
1/14/2017,Email,Telecom
1/14/2017,Email,Finance
1/14/2017,Organic,Health Care
1/15/2017,Paid,SaaS
1/15/2017,Referral,Finance
1/15/2017,Social,Telecom
1/15/2017,Referral,SaaS
1/15/2017,Direct,Finance
1/15/2017,Direct,Telecom
1/15/2017,Paid,SaaS
1/15/2017,Paid,IT
1/15/2017,Paid,Finance
1/15/2017,Social,SaaS
1/15/2017,Referral,IT
1/15/2017,Email,IT
1/15/2017,Paid,SaaS
1/15/2017,Email,Finance
1/15/2017,Direct,IT
1/16/2017,Paid,Education
1/16/2017,Email,SaaS
1/16/2017,Email,IT
1/16/2017,Social,Health Care
1/16/2017,Email,Telecom
1/16/2017,Email,Health Care
1/16/2017,Referral,Telecom
1/16/2017,Referral,SaaS
1/16/2017,Direct,Telecom
1/16/2017,Social,Retail/Entertainment
1/16/2017,Direct,Health Care
1/16/2017,Paid,Telecom
1/16/2017,Email,Retail/Entertainment
1/16/2017,Referral,Education
1/16/2017,Direct,IT
1/16/2017,Social,IT
1/16/2017,Email,Health Care
1/16/2017,Direct,Education
1/16/2017,Email,SaaS
1/16/2017,Social,Health Care
1/16/2017,Referral,Finance
1/16/2017,Paid,Health Care
1/16/2017,Organic,Retail/Entertainment
1/16/2017,Referral,IT
1/16/2017,Email,SaaS
1/16/2017,Organic,SaaS
1/16/2017,Organic,SaaS
1/16/2017,Paid,Finance
1/16/2017,Direct,Telecom
1/16/2017,Organic,Education
1/16/2017,Referral,Education
1/16/2017,Paid,Telecom
1/16/2017,Organic,Finance
1/16/2017,Paid,Retail/Entertainment
1/16/2017,Organic,Finance
1/16/2017,Referral,Finance
1/16/2017,Email,Retail/Entertainment
1/16/2017,Organic,Telecom
1/16/2017,Referral,Finance
1/16/2017,Direct,Telecom
1/16/2017,Email,IT
1/16/2017,Paid,Health Care
1/17/2017,Email,Telecom
1/17/2017,Paid,Finance
1/17/2017,Paid,Health Care
1/17/2017,Direct,Health Care
1/17/2017,Direct,SaaS
1/17/2017,Social,Finance
1/17/2017,Email,Finance
1/17/2017,Social,IT
1/17/2017,Email,IT
1/17/2017,Referral,Education
1/17/2017,Referral,IT
1/17/2017,Referral,Health Care
1/17/2017,Direct,Telecom
1/17/2017,Referral,Telecom
1/17/2017,Social,SaaS
1/17/2017,Paid,SaaS
1/17/2017,Social,Telecom
1/17/2017,Referral,Health Care
1/17/2017,Email,Telecom
1/17/2017,Paid,SaaS
1/17/2017,Referral,Retail/Entertainment
1/17/2017,Email,Telecom
1/17/2017,Paid,Telecom
1/17/2017,Paid,Finance
1/17/2017,Email,Finance
1/18/2017,Paid,Retail/Entertainment
1/18/2017,Paid,SaaS
1/18/2017,Direct,Telecom
1/18/2017,Email,Retail/Entertainment
1/18/2017,Direct,SaaS
1/18/2017,Paid,Telecom
1/18/2017,Referral,IT
1/18/2017,Paid,SaaS
1/18/2017,Social,SaaS
1/18/2017,Direct,Finance
1/18/2017,Referral,Health Care
1/18/2017,Direct,Retail/Entertainment
1/18/2017,Referral,Finance
1/18/2017,Paid,SaaS
1/18/2017,Direct,Telecom
1/18/2017,Social,Telecom
1/18/2017,Referral,Retail/Entertainment
1/18/2017,Referral,IT
1/18/2017,Social,Retail/Entertainment
1/18/2017,Referral,Health Care
1/18/2017,Direct,Finance
1/18/2017,Direct,SaaS
1/18/2017,Paid,Retail/Entertainment
1/18/2017,Paid,Finance
1/18/2017,Referral,Education
1/19/2017,Email,Retail/Entertainment
1/19/2017,Referral,Telecom
1/19/2017,Organic,Health Care
1/19/2017,Direct,SaaS
1/19/2017,Organic,Health Care
1/19/2017,Direct,SaaS
1/19/2017,Direct,Education
1/19/2017,Email,Telecom
1/19/2017,Paid,Finance
1/19/2017,Direct,SaaS
1/19/2017,Paid,Retail/Entertainment
1/19/2017,Email,SaaS
1/19/2017,Paid,Finance
1/19/2017,Referral,SaaS
1/19/2017,Paid,Education
1/19/2017,Direct,SaaS
1/19/2017,Paid,Health Care
1/19/2017,Direct,SaaS
1/19/2017,Referral,SaaS
1/19/2017,Direct,Health Care
1/19/2017,Paid,IT
1/19/2017,Direct,IT
1/19/2017,Organic,SaaS
1/19/2017,Email,SaaS
1/19/2017,Referral,Health Care
1/19/2017,Referral,SaaS
1/20/2017,Direct,Education
1/20/2017,Paid,SaaS
1/20/2017,Direct,Health Care
1/20/2017,Direct,IT
1/20/2017,Referral,Retail/Entertainment
1/20/2017,Social,Health Care
1/20/2017,Paid,Retail/Entertainment
1/20/2017,Paid,Finance
1/20/2017,Direct,SaaS
1/20/2017,Direct,SaaS
1/20/2017,Organic,Education
1/20/2017,Referral,SaaS
1/20/2017,Direct,Education
1/20/2017,Social,Retail/Entertainment
1/20/2017,Referral,SaaS
1/20/2017,Paid,Telecom
1/21/2017,Paid,Education
1/21/2017,Social,Health Care
1/21/2017,Paid,Retail/Entertainment
1/21/2017,Organic,SaaS
1/21/2017,Organic,SaaS
1/21/2017,Email,Health Care
1/21/2017,Email,IT
1/21/2017,Social,Education
1/21/2017,Referral,Finance
1/21/2017,Paid,SaaS
1/21/2017,Direct,Finance
1/21/2017,Paid,Finance
1/21/2017,Referral,Finance
1/21/2017,Social,Health Care
1/21/2017,Paid,Retail/Entertainment
1/21/2017,Organic,SaaS
1/21/2017,Organic,SaaS
1/21/2017,Organic,Finance
1/21/2017,Referral,Education
1/21/2017,Direct,SaaS
1/21/2017,Social,Education
1/21/2017,Social,Health Care
1/21/2017,Paid,Health Care
1/21/2017,Social,Education
1/22/2017,Social,Telecom
1/22/2017,Paid,Telecom
1/22/2017,Paid,Health Care
1/22/2017,Direct,Telecom
1/22/2017,Email,SaaS
1/22/2017,Paid,Health Care
1/22/2017,Referral,IT
1/22/2017,Organic,SaaS
1/22/2017,Social,Telecom
1/22/2017,Paid,Education
1/22/2017,Email,Retail/Entertainment
1/22/2017,Organic,SaaS
1/22/2017,Organic,Retail/Entertainment
1/22/2017,Direct,Health Care
1/22/2017,Direct,Telecom
1/22/2017,Paid,Retail/Entertainment
1/22/2017,Direct,Retail/Entertainment
1/22/2017,Referral,Telecom
1/22/2017,Direct,Finance
1/22/2017,Email,Finance
1/22/2017,Paid,Finance
1/22/2017,Social,Telecom
1/22/2017,Referral,Finance
1/22/2017,Paid,Retail/Entertainment
1/22/2017,Email,SaaS
1/22/2017,Organic,Telecom
1/22/2017,Organic,Health Care
1/22/2017,Referral,Education
1/22/2017,Organic,Finance
1/22/2017,Paid,SaaS
1/22/2017,Paid,IT
1/22/2017,Paid,Retail/Entertainment
1/22/2017,Direct,Telecom
1/22/2017,Organic,Retail/Entertainment
1/22/2017,Organic,IT
1/22/2017,Direct,SaaS
1/22/2017,Paid,Retail/Entertainment
1/22/2017,Referral,SaaS
1/22/2017,Paid,SaaS
1/22/2017,Organic,Education
1/23/2017,Direct,SaaS
1/23/2017,Referral,SaaS
1/23/2017,Direct,SaaS
1/23/2017,Organic,Retail/Entertainment
1/23/2017,Email,IT
1/23/2017,Email,Retail/Entertainment
1/23/2017,Email,Retail/Entertainment
1/23/2017,Organic,Telecom
1/23/2017,Email,IT
